Category,Name,Status,Rarity Winter,Rarity Summer,Rarity Breeding,Rarity Passage,Rarity Vagrant,Rarity Feral,Rarity Escapee,Rarity Overall,Taxon
A,Rose-coloured Starling,V1,0,0,0,0,1,0,0,1,Pastor roseus
A,House Sparrow,B6,0,0,6,0,0,0,0,6,Passer domesticus
A,Tree Sparrow,B5,0,0,5,0,0,0,0,5,Passer montanus
A,Chaffinch,B7,0,0,7,0,0,0,0,7,Fringilla coelebs
A,Brambling,WP4-5,4,0,0,4,0,0,0,4,Fringilla montifringilla
A,Greenfinch,B6-7,0,0,6,0,0,0,0,6,Chloris Chloris
A,Goldfinch,B6,0,0,6,0,0,0,0,6,Carduelis carduelis
A,Siskin,W5-6; B1,5,0,1,0,0,0,0,5, Spinus spinus
A,Linnet,B6; W5,5,0,6,0,0,0,0,6,Linaria cannabina
A,Twite,WP2,2,0,0,2,0,0,0,2,Linaria flavirostris
A,Common Redpoll,WP2,2,0,0,2,0,0,0,2,Acanthis flammea
A,Lesser Redpoll,WP5; B2,5,0,2,5,0,0,0,5,Acanthis cabaret
A,Arctic Redpoll,V1,0,0,0,0,1,0,0,1,Acanthis hornemanni
A,Common Crossbill,V2-3; B1,0,0,1,0,2,0,0,2,Loxia curvirostra
A,Common Rosefinch,V1,0,0,0,0,1,0,0,1,Carpodacus erythrinus
A,Bullfinch,B6,0,0,6,0,0,0,0,6,Pyrrhula pyrrhula
A,Hawfinch,P3; B2,0,0,2,3,0,0,0,3,Coccothraustes coccothraustes
A,Lapland Bunting,WP1,1,0,0,1,0,0,0,1,Calcarius lapponicus
A,Snow Bunting,WP2,2,0,0,2,0,0,0,2,Plectrophenax nivalis
A,Yellowhammer,B6,0,0,6,0,0,0,0,6,Emberiza citrinella
A,Cirl Bunting,V1,0,0,0,0,1,0,0,1,Emberiza cirlus
A,Reed Bunting,B6,0,0,6,0,0,0,0,6,Emberiza schoeniclus
A,Black-headed Bunting,V1,0,0,0,0,1,0,0,1,Emberiza melanocephala
A,Corn Bunting,B4,0,0,4,0,0,0,0,4,Emberiza calandra
